Tb427_000512800,Tb427_000529400,0
Tb427_000512800,Tb427_000101700,1.7e-34
Tb427_000512800,Tb427_000074700,2.29e-34
Tb427_000512800,Tb427_000472500,4.01e-33
Tb427_000512800,Tb427_000230800,1.87e-30
Tb427_000512800,Tb427_000609300,8.08e-29
Tb427_000512800,Tb427_000367700,2.4e-28
Tb427_000512800,Tb427_000308600,4.17e-28
Tb427_000512800,Tb427_000627000,4.02e-27
Tb427_000512800,Tb427_000858100,4.21e-27
Tb427_000512800,Tb427_000384900,1.03e-25
Tb427_000512800,Tb427_000171500,2.85e-21
Tb427_000512800,Tb427_000561500,1.69e-20
Tb427_000512800,Tb427_000056900,5.43e-20
Tb427_000512800,Tb427_000168700,2.51e-17
Tb427_000512800,Tb427_000430500,5.12e-17
Tb427_000512800,Tb427_000380200,1.95e-16
Tb427_000512800,Tb427_000376200,2.2e-16
Tb427_000512800,Tb427_000469200,3.21e-16
Tb427_000512800,Tb427_000413200,5.29e-16
Tb427_000512800,Tb427_000241600,1.05e-15
Tb427_000512800,Tb427_000330100,3.88e-15
Tb427_000512800,Tb427_000330000,3.88e-15
Tb427_000512800,Tb427_000439400,5.42e-15
Tb427_000512800,Tb427_000630100,1.56e-14
Tb427_000512800,Tb427_000330200,1.97e-14
Tb427_000512800,Tb427_000234300,4.65e-14
Tb427_000512800,Tb427_000419300,9.88e-14
Tb427_000512800,Tb427_000631500,3.56e-13
Tb427_000512800,Tb427_000848000,1.12e-12
Tb427_000512800,Tb427_000630400,1.68e-12
Tb427_000512800,Tb427_000850100,1.78e-11
Tb427_000512800,Tb427_000853500,7.31e-11
Tb427_000512800,Tb427_000588300,1.63e-10
Tb427_000512800,Tb427_000159400,1.99e-10
Tb427_000512800,Tb427_000121900,2.16e-10
Tb427_000512800,Tb427_000252800,4.16e-10
Tb427_000512800,Tb427_000604700,3.74e-9
Tb427_000512800,Tb427_070071200,4.57e-9
Tb427_000512800,Tb427_000260000,4.58e-9
Tb427_000512800,Tb427_000208300,1.29e-8
Tb427_000512800,Tb427_000860500,1.47e-8
Tb427_000512800,Tb427_000016000,1.77e-8
Tb427_000512800,Tb427_000096000,2.49e-8
Tb427_000512800,Tb427_000313300,6.36e-8
Tb427_000512800,Tb427_000023600,6.56e-8
Tb427_000512800,Tb427_000633500,7.06e-8
Tb427_000512800,Tb427_000266600,7.21e-8
Tb427_000512800,Tb427_000266500,7.21e-8
Tb427_000512800,Tb427_000266400,7.21e-8
Tb427_000512800,Tb427_000266300,7.71e-8
Tb427_000512800,Tb427_000860700,9.06e-8
Tb427_000512800,Tb427_000433300,1.39e-7
Tb427_000512800,Tb427_000043700,1.45e-7
Tb427_000512800,Tb427_000388500,1.63e-7
Tb427_000512800,Tb427_000307000,1.94e-7
Tb427_000512800,Tb427_000266900,2.23e-7
Tb427_000512800,Tb427_000288600,2.55e-7
Tb427_000512800,Tb427_000304300,2.7e-7
Tb427_000512800,Tb427_000042900,4.87e-7
Tb427_000512800,Tb427_000804600,6.08e-7
Tb427_000512800,Tb427_000405300,1.25e-6
Tb427_000512800,Tb427_000386200,1.41e-6
Tb427_000512800,Tb427_000650900,1.71e-6
Tb427_000512800,Tb427_000454300,1.88e-6
Tb427_000512800,Tb427_000632500,2.01e-6
Tb427_000512800,Tb427_000265200,2.87e-6
Tb427_000512800,Tb427_000470400,3.21e-6
Tb427_000512800,Tb427_000183000,3.21e-6
Tb427_000512800,Tb427_000615900,3.7e-6
Tb427_000512800,Tb427_000075000,7.23e-6
Tb427_000512800,Tb427_000236800,1.18e-5
Tb427_000512800,Tb427_000265100,1.18e-5
Tb427_000512800,Tb427_000123100,1.32e-5
Tb427_000512800,Tb427_000859500,1.36e-5
Tb427_000512800,Tb427_000371800,2.28e-5
Tb427_000512800,Tb427_000350300,3.1e-5
Tb427_000512800,Tb427_000230100,3.57e-5
Tb427_000512800,Tb427_000182200,4.06e-5
Tb427_000512800,Tb427_000631800,5e-5
Tb427_000512800,Tb427_000632700,7.44e-5
Tb427_000512800,Tb427_000246800,1.03e-4
Tb427_000512800,Tb427_000633600,1.05e-4
Tb427_000512800,Tb427_000553800,1.18e-4
Tb427_000512800,Tb427_000084200,1.7e-4
Tb427_000512800,Tb427_000231700,1.84e-4
Tb427_000512800,Tb427_000805900,1.99e-4
Tb427_000512800,Tb427_000368600,2.59e-4
Tb427_000512800,Tb427_000240600,3.02e-4
Tb427_000512800,Tb427_000031200,3.05e-4
Tb427_000512800,Tb427_000509400,3.4e-4
